Numer_zgloszenia;Numer_prawa_wylacznego;Data_pierwszenstwa;Data_zgloszenia;Numer_BUP;Data_Publikacji_BUP;Numer_WUP;Data_Publikacji_WUP;Tytul;Uprawnieni;Tworcy;Pelnomocnicy;Klasyfikacja_MKP;Status_sprawy;
277478;;;1989-01-30;16/1990;1990-08-06;;;Urządzenie do chłodzenie pasma mieszanek gumowych;PRZEDSIĘBIORSTWO PROJEKTOWANIA I REALIZACJI INWESTYCJI PRZEMYSŁU GUMOWEGO "BUDOPROJEKT-STOMIL" ZAKŁAD PROJEKTOWANIA I BUDOWY MASZYN;BURZYŃSKI ALEKSANDER PRZYBYSZ ZDZISŁAW;Doruchowski Zygmunt;B29C;Decyzja o umorzeniu postępowania;
277479;160104;;1989-01-30;16/1989;1989-08-07;02/1993;1993-02-26;Sposób usuwania osadów eksploatacyjnych z powierzchni wymiany ciepła a zwłaszcza z rur skraplaczy turbinowych po stronie parowej;ZAKŁADY POMIAROWO-BADAWCZE ENERGETYKI "ENERGOPOMIAR" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;TWARDOWSKI SŁAWOMIR MACIEJKO MARIAN BANIA ANDRZEJ DROP MARIAN WALOTEK ZDZISŁAW;;C23F14/00 C02F5/00;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277480;159334;;1989-01-30;16/1990;1990-08-06;12/1992;1992-12-31;Urządzenie do podnoszenia obudowy łukowej i montażu jej z kombajnu chodnikowego;KOPALNIA WĘGLA KAMIENNEGO "JANINA";TRĘBACZ WIKTOR IWAN ANDRZEJ SOJKA HENRYK DABIŃSKI ZYGMUNT BRASKA FRYDERYK;;E21D11/40;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277481;158499;;1989-02-01;16/1990;1990-08-06;09/1992;1992-09-30;Sposób wytwarzania włókniny igłowano-wykurczanej;INSTYTUT WŁÓKIENNICTWA;MROŻEWSKA HALINA WAWRZASZEK ZBIGNIEW ŚWIDERSKI TADEUSZ MROŻEWSKI KRZYSZTOF;;D04H1/70 D04H1/48;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277483;158196;;1989-01-30;17/1990;1990-08-20;08/1992;1992-08-31;Sposób wytwarzania elastycznych żywic fenolowo-karbaminianowo-formaldehydowych;WYŻSZA SZKOŁA INŻYNIERSKA IM. K. PUŁAWSKIEGO;WIRPSZA ZYGMUNT MALINOWSKA ELWIRA KOWALSKI KRZYSZTOF JANIK TADEUSZ;Kostrzewa Halina;C08G14/08 C08G8/28;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277484;158197;;1989-02-01;16/1990;1990-08-06;08/1992;1992-08-31;Wciągnik elektryczny, zwłaszcza przejezdny;BYTOMSKIE ZAKŁADY URZĄDZEŃ TECHNICZNYCH;WOLNY JOACHIM GAMBUSZ PAWEŁ;;B66D1/46;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277485;;;1989-01-30;16/1990;1990-08-06;;;Sposób wytwarzania karbaminianu fenylowego i allofanianu fenylowego;WYŻSZA SZKOŁA INŻYNIERSKA IM. K. PUŁAWSKIEGO;WIRPSZA ZYGMUNT MALMON URSZULA KOWALSKI KRZYSZTOF JANIK TADEUSZ;;C07C;Decyzja o odmowie udzielenia prawa wyłącznego;
277486;163338;;1989-01-30;16/1990;1990-08-06;03/1994;1994-03-31;Sposób zabezpieczania budowli, zwłaszcza budowli istniejących;PRZEDSIĘBIORSTWO BUDOWNICTWA PRZEMYSŁOWEGO "BUDOSTAL-4";WOJTYNA TADEUSZ STRZELECKI TADEUSZ ŻABICKI MAREK;;E04B1/70 E02D31/02 E02B11/00;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277487;;1988-02-01;1989-01-31;21/1989;1989-10-16;;;Środek chwastobójczy oraz sposób wytwarzania jego substancji czynnej;Sandoz A.G.;ANDERSON RICHARD JAMES GRINA JONAS KUHNEN FRED LEE SHY-FUH;PRZEDSIĘBIORSTWO RZECZNIKÓW PATENTOWYCH PATPOL SP. Z O.O. ul. Nowoursynowska 162 J 02-776 Warszawa;;Decyzja o umorzeniu postępowania;
277488;;1988-02-08;1989-01-31;21/1989;1989-10-16;;;Sposób wytwarzania kwasu N-fosfono-metylo-imino-acetylooctowego;Nitrokemia Ipartelepek;PELYVA JENO SUPTEI CSABA KOLONICS ZOLTAN KARACSONYI BELA BALINT SANDOR BENCZIK JANOSNE KAYOS CSABA;PRZEDSIĘBIORSTWO RZECZNIKÓW PATENTOWYCH PATPOL SP. Z O.O. ul. Nowoursynowska 162 J 02-776 Warszawa;;Decyzja o umorzeniu postępowania;
277489;;1988-03-02;1989-02-01;22/1989;1989-10-30;;;Nastawcza próba napędowa;VEB SCHIFFSWERFT "NEPTUN" STAMMBETRIEB DES VEB KOMBINAT SCHIFFBAU;DALLACH GERT DUDSZUS ALFRED GRIMMER KLAUS KUJUMDSHIEV VALENTIN NEUMANN GERD SYMANZIK JÜRGEN;PRZEDSIĘBIORSTWO RZECZNIKÓW PATENTOWYCH PATPOL SP. Z O.O. ul. Nowoursynowska 162 J 02-776 Warszawa;;Decyzja o umorzeniu postępowania;
277490;;;1989-02-01;18/1989;1989-09-04;;;Sterownik czasowo-sekwencyjny;STUDENCKA SPÓŁDZIELNIA PRACY "UNIWERSITAS";BŁAŻEJAK GRZEGORZ KOZŁOWSKI ANDRZEJ;;;Decyzja o umorzeniu postępowania;
277491;;;1989-02-01;16/1990;1990-08-06;;;Emulsja lepiszcza bitumicznego w wodzie i sposób jej wytwarzania;INSTYTUT CHEMII PRZEMYSŁOWEJ;POLACZEK JERZY SYBILSKI DARIUSZ NIEDZIELSKI ZBIGNIEW COLLIN GERD LISIECKI ZYGMUNT TĘCZA TERSA PRODAN JERZY;;X99X99/00;Decyzja o umorzeniu postępowania;
277492;158840;;1989-02-01;16/1990;1990-08-06;10/1992;1992-10-30;Wsad węglowy do koksowania;INSTYTUT CHEMII PRZEMYSŁOWEJ Rutgerswerke A.G.;POLACZEK JERZY BUJNOWSKA BOŻENA COLLIN GERD JASIEŃKO STEFAN BARCZYK MIECZYSŁAW LISICKI ZYGMUNT;;C10B57/04;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277493;;;1989-01-30;16/1990;1990-08-06;;;Sposób pomiaru zawartości popiołu w odpadach flotacyjnych i urządzenie do pomiaru zawartości popiołu w odpadach flotacyjnych;OŚRODEK BADAWCZY ELEKTROTECHNIKI I AUTOMATYKI GÓRNICZEJ;SIKORA TERESA ŚLIWA JAN;;G01N;Decyzja o umorzeniu postępowania;
277494;;;1989-02-01;17/1989;1989-08-21;;;Urządzenie do usuwania ciekłych zanieczyszczeń z powierzchni wody;PRZEDSIĘBIORSTWO USŁUGOWE ESTETYZACJI I OCHRONY ŚRODOWISKA "ESTIA";KŁOPOTOWSKI ANDRZEJ;;;Decyzja o umorzeniu postępowania;
277495;;;1989-02-01;23/1989;1989-11-13;;;Zbiornik elastyczny;PRZEDSIĘBIORSTWO USŁUGOWE ESTETYZACJI I OCHRONY ŚRODOWISKA "ESTIA";MAŁACZYŃSKI MAREK SZCZEPANIAK MAREK KŁOPOTOWSKI ANDRZEJ;;;Decyzja o wygaśnięciu decyzji warunkowej;
277496;;;1989-02-01;16/1990;1990-08-06;;;Przeciwolejowa zapora pływająca;PRZEDSIĘBIORSTWO USŁUGOWE ESTETYZACJI I OCHRONY ŚRODOWISKA "ESTIA";KŁOPOTOWSKI ANDRZEJ MAŁACZYŃSKI MAREK PAPIERZ WALDEMAR;;E02B;Decyzja o umorzeniu postępowania;
277497;;;1989-02-01;17/1989;1989-08-21;;;Pływająca końcówka ssąca do zbierania ciekłych zanieczyszczeń;PRZEDSIĘBIORSTWO USŁUGOWE ESTETYZACJI I OCHRONY ŚRODOWISKA "ESTIA";KŁOPOTOWSKI ANDRZEJ MAŁACZYŃSKI MAREK STĘPNIEWSKI ZBIGNIEW;;;Decyzja o umorzeniu postępowania;
277498;;;1989-02-01;17/1989;1989-08-21;;;Zbiornik pływający;PRZEDSIĘBIORSTWO USŁUGOWE ESTETYZACJI I OCHRONY ŚRODOWISKA "ESTIA";KŁOPOTOWSKI ANDRZEJ MAŁACZYŃSKI MAREK SZCZEPANIAK MAREK DULCZEWSKI STANISŁAW WIŚNIEWSKI ROMAN;;;Decyzja o wygaśnięciu decyzji warunkowej;
277499;157754;;1989-01-31;16/1990;1990-08-06;06/1992;1992-06-30;Końcówka narzędzia kriochirurgicznego;POLSKA AKADEMIA NAUK INSTYTUT NISKICH TEMPERATUR I BADAŃ STRUKTURALNYCH;RACZKOWSKI ZBIGNIEW SCHMIDT ERNEST;;A61B17/36;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277500;157755;;1989-01-31;16/1990;1990-08-06;06/1992;1992-06-30;Końcówka narzędzia kriochirurgicznego;POLSKA AKADEMIA NAUK INSTYTUT NISKICH TEMPERATUR I BADAŃ STRUKTURALNYCH;RACZKOWSKI ZBIGNIEW SCHMIDT ERNEST;;A61B17/36;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277501;158894;;1989-01-30;16/1990;1990-08-06;10/1992;1992-10-30;Sposób mikrorozmnażania cebul hiacyntów;AKADEMIA ROLNICZA IM. HUGONA KOŁŁĄTAJA;BACH ANNA;Rzeczn. pat. Zb. Korzeniewski;A01H4/00;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277502;;;1989-02-02;16/1990;1990-08-06;;;Pneumatyczna oczyszczarka strumieniowa do konstrukcji stalowych;PŁONKA STEFAN;PŁONKA STEFAN;;B24C;Decyzja o umorzeniu postępowania;
277503;;;1989-01-30;23/1989;1989-11-13;;;Sposób wykonywania metalowych przegubów kulistych;STROJNY JAN KOSTORZ NORBERT MICHALIK ANDRZEJ;STROJNY JAN KOSTORZ NORBERT MICHALIK ANDRZEJ;Golisz Tadeusz;B23P F16L;Decyzja o umorzeniu postępowania;
277504;158500;;1989-02-02;16/1990;1990-08-06;09/1992;1992-09-30;Sposób pomiaru grubości rzeczywistej i rezystywności warstw półprzewodnikowych;INSTYTUT TECHNOLOGII ELEKTRONOWEJ;SIKORSKI STANISŁAW PIOTROWSKI TADEUSZ;;G01R31/26;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277505;;1988-02-02;1989-02-02;18/1989;1989-09-04;;;Urządzenie do rozdzielania metodą elektroforezy wielkocząsteczkowych DNA w żelu;Institut Molekuljarnoj Biologii Akademii Nauk;BERTITASVILI DAVID REVAZOVIC KARKLIT LEV VALENTINOVIC TVERDOCHLEBOV EVGENIJ NIKOLAEVIC;POLSERVICE KANCELARIA RZECZNIKÓW PATENTOWYCH SP. Z O.O. ul. Bluszczańska 73 00-712 Warszawa;;Decyzja o umorzeniu postępowania;
277506;165146;;1989-02-02;22/1989;1989-10-30;11/1994;1994-11-30;Sposób wytwarzania środka terapeutycznego, w postaci co najmniej jednego układu pływalnego do terapii doustnej;LTS LOHMANN THERAPIE-SYSTEME GMBH & CO.KG;MÜLLER WALTER ANDERS EDZARD;Grabowska Małgorzata;A61K9/22;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277507;;1988-02-02;1989-02-02;21/1989;1989-10-16;;;Sposób i urządzenie do redukcji tlenków azotu z wykorzystaniem dwustopniowego wtrysku do kotła;KRG UMWELTTECHNIK GmbH;JONES DALE GORDON;PRZEDSIĘBIORSTWO RZECZNIKÓW PATENTOWYCH PATPOL SP. Z O.O. ul. Nowoursynowska 162 J 02-776 Warszawa;;Decyzja o umorzeniu postępowania;
277508;;;1989-02-02;17/1989;1989-08-21;;;Sposób konserwacji czosnku;SZUMIGAJ TADEUSZ;SZUMIGAJ TADEUSZ;;;Decyzja o umorzeniu postępowania;
277509;;;1989-02-02;17/1989;1989-08-21;;;Prefabrykowane elementy konstrukcyjne służące do wykonania szczelnej obudowy wyrobisk górniczych lub innych przegród izolacyjnych;GROMADA ZDZISŁAW;GROMADA ZDZISŁAW;;;Decyzja o odmowie udzielenia prawa wyłącznego;
277510;159072;;1989-01-30;16/1990;1990-08-06;11/1992;1992-11-30;Przyrząd do ćwiczeń rehabilitacyjnych kończyn dolnych;OPOLSKIE PRZEDSIĘBIORSTWO INNOWACYJNO-WDROŻENIOWE "OPIW" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;ANDRUSZKIEWICZ STANISŁAW DUDAR BOGDAN KOSTUŚ EUGENIUSZ KOTULA JÓZEF HOLICZ KRZYSZTOF SITARZ JÓZEF WÓJCIKOWSKI ALOJZY WRÓBLEWSKI LESZEK;;A63B23/04 A63B22/08;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277511;;;1989-01-31;16/1990;1990-08-06;;;Sposób wytwarzania granulatu z wodorofumaranem ketotifenu;POZNAŃSKIE ZAKŁADY FARMACEUTYCZNE "POLFA";PFEIFFER BRONISŁAW STAWIŃSKA HELENA CYCHOWSKA TERESA PERZ STEFANIA PRZĄDKA TADEUSZ MATLAK BARBARA DOBROWOLSKA BARBARA BUSZYK MARIA;;A61K;Decyzja o umorzeniu postępowania;
277512;;;1989-01-31;16/1990;1990-08-06;;;Krążnik elastyczny do przenośników taśmowych;FABRYKA URZĄDZEŃ TECHNICZNYCH "WISŁA";NAWARSKI WOJCIECH POLANOWSKI STANISŁAW CZEPIEL RYSZARD;;B65G;Decyzja o odmowie udzielenia prawa wyłącznego;
277513;;;1989-01-31;16/1990;1990-08-06;;;Regulator temperatury;KRAKOWSKA FABRYKA APARATÓW POMIAROWYCH "MERA-KFAP";KOBYŁECKI ZDZISŁAW JAROSZ ZYGMUNT;;G05D;Decyzja o umorzeniu postępowania;
277514;;;1989-01-31;18/1989;1989-09-04;;;Sposób wytwarzania osiowo-symetrycznych, cienkościennych wytłoczek kształtowych z otworem w dnie i tłocznik do głębokiego ciągnienia wytłoczek kształtowych z otworem w dnie;ZAKŁADY METALOWE "MESKO";OLEKSY STANISŁAW NAJMAN WOJCIECH GLIŃSKI RYSZARD SZYMCZAK TADEUSZ;;;Decyzja o umorzeniu postępowania;
277515;160025;;1989-01-26;23/1989;1989-11-13;01/1993;1993-01-29;Urządzenie do frezowania rowków w tynku;WYŻSZA SZKOŁA INŻYNIERSKA;KACALAK WOJCIECH TATOŃ JERZY;;E04F21/16 B28D1/18;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277516;;;1989-01-23;16/1990;1990-08-06;;;Nurnik pompy wysokociśnieniowej;GACEK ANTONI;GACEK ANTONI;;F16J F04B;Decyzja o umorzeniu postępowania;
277517;158841;;1989-01-31;16/1990;1990-08-06;10/1992;1992-10-30;Sposób suszenia wymurowania ogniotrwałego kadzi stalowniczej oraz stanowisko suszenia wymurowania ogniotrwałego kadzi stalowniczej;HUTA "ŁABĘDY";NOWAK FRANCISZEK SMERKOWSKI RYSZARD NOWAK JAN NOWAK JAN MALANOWICZ JACEK NAWROT ADAM;;F26B3/00 B22D41/02 F26B9/06 F27D1/00;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277518;159684;;1989-01-31;16/1990;1990-08-06;12/1992;1992-12-31;Kosz ażurowy do transportu, zwłaszcza wlewków stalowych;HUTA "ŁABĘDY";NOWAK FRANCISZEK SMERKOWSKI RYSZARD NOWAK JAN NOWAK JAN MALANOWICZ JACEK NAWROT ADAM;;B65D1/38;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277519;;;1989-01-31;23/1989;1989-11-13;;;Składana maszynka do golenia;KISIO MAREK;KISIO MAREK;;;Decyzja o umorzeniu postępowania;
277521;;;1989-01-31;16/1990;1990-08-06;;;Sposób wytwarzania odczynnika do trawienia miedzi;PRZEDSIĘBIORSTWO USŁUG NAUKOWO-TECHNICZNYCH I HANDLOWYCH PRO-NOVUM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;BALA HENRYK BANASZKIEWICZ ADAM;;C23G;Decyzja o umorzeniu postępowania;
277522;158501;;1989-01-31;19/1989;1989-09-18;09/1992;1992-09-30;Sposób fundamentowania budowli na hałdach odpadów przemysłowych;POLITECHNIKA KRAKOWSKA IM. TADEUSZA KOŚCIUSZKI;PAŁKA JULIAN NABORCZYK JANUSZ SALA ADAM;Vasina Stanisław;E02D3/046;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277523;152698;;1989-01-31;23/1989;1989-11-13;01/1991;1991-01-31;Zespół zasilający zbiornika cieczy, zwłaszcza urządzenia spłukującego;POLITECHNIKA KRAKOWSKA IM. TADEUSZA KOŚCIUSZKI;RIEDEL TADEUSZ;;E03D1/30;Prawo wyłączne wygasło po okresie, na jaki zostało udzielone;
277524;;;1989-01-30;16/1990;1990-08-06;;;Ściągacz hydrauliczny;OŚRODEK BADAWCZO-ROZWOJOWY GOSPODARKI REMONTOWEJ ENERGETYKI;TYMKÓW PIOTR OWSIK JÓZEF KOWALSKI KRZYSZTOF;;B25B;Decyzja o umorzeniu postępowania;
277525;;;1989-01-30;16/1990;1990-08-06;;;Urządzenie rozładowcze;WOJEWÓDZKI KLUB TECHNIKI I RACJONALIZACJI;JURZYK EDWARD JURZYK GRZEGORZ;;B65G;Decyzja o umorzeniu postępowania;
277526;156100;;1989-01-31;16/1990;1990-08-06;02/1992;1992-02-28;Sposób wytwarzania piankowego materiału filtrosorpcyjnego;WOJSKOWY INSTYTUT CHEMII I RADIOMETRII;KOCH MIECZYSŁAW BEDNARSKI ALEKSANDER SZENIAWSKA ANNA MŁYNARCZYK ALEKSANDER ŻELAZNY TERESA M. KAROLAK JÓZEF;;B01D39/14;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277528;;;1988-11-08;14/1990;1990-07-09;;;Układ do smarowania i konserwacji przenośników płytkowych;OŚRODEK BADAWCZO-ROZWOJOWY MECHANIZACJI PRODUKCJI ZWIERZĘCEJ;XXXXXXXXXXXXXXXXXXXXX XXXXXXXXXXXXX;;B65G;Decyzja o umorzeniu postępowania;
277529;;;1989-01-31;16/1990;1990-08-06;;;Układ sieci ciepłowniczej;ZAKŁAD TECHNICZNO-USŁUGOWY "TECHNOTON";BAZYLCZYK HENRYK STROŻEK ANDRZEJ;;F01K;Decyzja o umorzeniu postępowania;
277530;158842;;1989-01-31;16/1990;1990-08-06;10/1992;1992-10-30;Sposób otrzymywania wysokiej czystości siarczanu niklu "bez kobaltu", z surowego siarczanu niklu, zwłaszcza powstającego w procesie elektrorafinacji miedzi hutniczej;LUBELSKIE ZAKŁADY PRZEMYSŁU NIEORGANICZNEGO "PERMEDIA";SIEKIERSKI SŁAWOMIR ZACHWATOWICZ TOMASZ GIERS MAREK HUBICKI ZBIGNIEW DRĄG PIOTR CHWALIK HENRYKA DROB CEZARY GAJECKA BOGUMIŁA KUBICKI STANISŁAW BATORSKI HENRYK ŻUCHOWSKI ZBIGNIEW;;C01G53/10 C22B7/00;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277531;;;1989-02-01;16/1990;1990-08-06;;;Przecinarka do poprzecznego cięcia wałków,zwłaszcza krzemowych;UNITRA-CEMAT ZAKŁAD BUDOWY URZĄDZEŃ TECHNOLOGICZNYCH;SZUBA JÓZEF MICOREK MARIA;;B26D;Decyzja o umorzeniu postępowania;
277532;151808;;1989-02-01;19/1989;1989-09-18;10/1990;1990-10-31;Urządzenie zabezpieczające przewód oponowy zasilający maszynę samobieżną, zwłaszcza kombajn węglowy;KOPALNIA WĘGLA KAMIENNEGO "JOWISZ";WOLAK MARIAN CZECH RYSZARD TREFON ADAM CZAPLA RYSZARD JASIK JERZY CICHY RYSZARD;;H02G11/00 H02H5/10 E21C35/00;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277533;;;1989-02-01;16/1990;1990-08-06;;;Urządzenie do odwadniania skoagulowanych białek mleka;INSTYTUT MLECZARSTWA W WARSZAWIE ODDZIAŁ W OLSZTYNIE;MAKAREWICZ JERZY OBERBEK MAREK PŁODZEIEŃ J.TADEUSZ DAJNOWIEC ZBIGNIEW;;A23C;Decyzja o umorzeniu postępowania;
277534;160231;;1989-02-01;16/1990;1990-08-06;02/1993;1993-02-26;Urządzenie do przenoszenia narzędzi poddawanych procesowi obróbki cieplnej;OŚRODEK BADAWCZO-ROZWOJOWY MASZYN HUTNICZYCH HUTA "BAILDON";MUSZER ZYGMUNT WOWRO KONRAD LEJAWKA JERZY ROGOWSKI JÓZEF KANIA ZDZISŁAW;;B65G49/02;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277535;159074;;1989-02-01;16/1990;1990-08-06;11/1992;1992-11-30;Urządzenie do wytwarzania krajki tkaniny na krośnie chwytakowym;POLITECHNIKA ŁÓDZKA;JANCZEWSKI RYSZARD PASIERBEK MAREK WŁOCHOWICZ ANDRZEJ ZALIPSKI ZBIGNIEW;Bałczewski Zbigniew;D03D47/40 D03C7/00;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277536;;;1989-02-01;16/1990;1990-08-06;;;Warstwowa szczotka o obniżonej indukcyjności do maszyn elektrycznych;POLITECHNIKA GDAŃSKA;RAFALSKI WOJCIECH MUSZALSKI ZBIGNIEW;Politechnika Gdańska Ośrodek Ochrony Patentowej;H02K H01R;Decyzja o umorzeniu postępowania;
277537;159335;;1989-02-01;16/1990;1990-08-06;12/1992;1992-12-31;Układ do ryglowania maszyny, zwłaszcza aparatu kierowniczego turbiny wodnej;POLITECHNIKA GDAŃSKA;DUDZIAK DANIEL GAJEK JACEK KOZŁOWSKI STANISŁAW;Usarek Jerzy;F15B11/08;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277538;152067;;1989-02-01;23/1989;1989-11-13;11/1990;1990-11-30;Sposób wytwarzania tuszu do długopisów;INSTYTUT BARWNIKÓW I PRODUKTÓW ORGANICZNYCH;ZIMNICKI JAN ZAREMBA ZDZISŁAW KULAWINEK JAN PIETRZAK URSZULA BUCZEK PAWEŁ;;C09D11/18;Prawo wyłączne wygasło po okresie, na jaki zostało udzielone;
277539;158502;;1989-02-01;21/1990;1990-10-15;09/1992;1992-09-30;Wentylator lutniowy;ZABRZAŃSKA FABRYKA MASZYN GÓRNICZYCH "POWEN";KNOPPEK GUSTAW WRÓBLEWSKI ANDRZEJ RUDZKI EUGENIUSZ KUBIŃSKI ANDRZEJ RUTKOWSKI TADEUSZ PAWLIK ROMAN FARUZEL KAROL KOJMA ADOLF KLEINERT REINER;Kusz Grzegorz;F04D25/08 F24F7/06;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277540;;;1989-02-01;16/1990;1990-08-06;;;Przetwornik pomiarowy siły;PAC ALEKSANDER;PAC ALEKSANDER;;G01L;Decyzja o umorzeniu postępowania;
277541;;;1989-02-01;16/1990;1990-08-06;;;Sposób zabezpieczenia antykorozyjnego kształtek stalowych;KOPERNIK WIESŁAW;KOPERNIK WIESŁAW;;C09D;Decyzja o umorzeniu postępowania;
277542;157978;;1989-02-01;16/1990;1990-08-06;07/1992;1992-07-31;Sposób wytwarzania wstępnie naprężonego korpusu prasy i korpus prasy wstępnie naprężony;JASIŃSKI RAFAŁ WEŁNOWSKI JANUSZ;JASIŃSKI RAFAŁ WEŁNOWSKI JANUSZ;;B30B15/04 B23P11/02;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277543;;;1989-02-02;16/1990;1990-08-06;;;Przelotka, zwłaszcza wędkarska;ZEMBOWICZ WOJCIECH;ZEMBOWICZ WOJCIECH;;A01K;Decyzja o wygaśnięciu decyzji warunkowej;
277544;159621;;1989-02-03;16/1990;1990-08-06;12/1992;1992-12-31;Sposób i układ do pomiaru rezystancji uziomu roboczego linii elektroenergetycznej;INSTYTUT ENERGETYKI;SOBIK FERDYNAND WIŚNIEWSKI WITOLD;Jankowska Danuta;G01R27/20;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277545;;;1989-02-03;16/1990;1990-08-06;;;Sposób pomiaru współosiowości otworów;WARSZAWSKIE ZAKŁADY MECHANICZNE "PZL-WZM";GOC TADEUSZ WICHNIAK ANDRZEJ MAGIERA ADAM BIERNACKI KAZIMIERZ;;G01B;Decyzja o umorzeniu postępowania;
277546;;;1989-02-03;16/1990;1990-08-06;;;Urządzenie do pomiaru współosiowości otworów;WARSZAWSKIE ZAKŁADY MECHANICZNE "PZL-WZM";GOC TADEUSZ WICHNIAK ANDRZEJ MAGIERA ADAM BIERNACKI KAZIMIERZ;;G01B;Decyzja o umorzeniu postępowania;
277547;;;1989-02-03;16/1990;1990-08-06;;;Urządzenie do szlifowania stożków;WARSZAWSKIE ZAKŁADY MECHANICZNE "PZL-WZM";GOC TADEUSZ WICHNIAK ANDRZEJ HOLSZAŃSKI MIROSŁAW ZIÓŁKOWSKI WŁADYSŁAW;;B24B;Decyzja o umorzeniu postępowania;
277548;;;1989-02-03;16/1990;1990-08-06;;;Przyrząd do obserwacji powierzchni, zwłaszcza dwóch przecinających się otworów;WARSZAWSKIE ZAKŁADY MECHANICZNE "PZL-WZM";GOC TADEUSZ HOLSZAŃSKI MIROSŁAW ZARZYCKI ROMAN;;G02B;Decyzja o umorzeniu postępowania;
277549;152929;;1989-02-03;23/1989;1989-11-13;02/1991;1991-02-28;Obrabiarka do wiercenia otworów paliwowych w korpusach wtryskiwaczy;WARSZAWSKIE ZAKŁADY MECHANICZNE;STEĆ ZDZISŁAW BIERNACKI KAZIMIERZ GRUSZCZYŃSKI BOGDAN WITUSIK STANISŁAW;;B23B41/12;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277550;;;1989-02-03;23/1989;1989-11-13;;;Wtryskiwacz paliwa;WARSZAWSKIE ZAKŁADY MECHANICZNE "PZL-WZM";ŁOJEK ANDRZEJ JANISZEWSKI TADEUSZ LENDZION KRZYSZTOF WEWIÓR JERZY;;;Decyzja o umorzeniu postępowania;
277551;152930;;1989-02-03;23/1989;1989-11-13;02/1991;1991-02-28;Obrabiarka do wiercenia otworów paliwowych w korpusach wtryskiwaczy;WARSZAWSKIE ZAKŁADY MECHANICZNE;STEĆ ZDZISŁAW BIERNACKI KAZIMIERZ GRUSZCZYŃSKI BOGDAN WITUSIK STANISŁAW;;B23B41/12;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277552;;;1989-02-03;16/1990;1990-08-06;;;Stabilna doustna kompozycja farmaceutyczna zawierająca farmaceutycznie dopuszczalną sól kwsu [(E)-7-[4-(4-fluorofenylo)-6-izopropylo-2-[metylo(metylosulfonylo)amino]pirymidyn-5-ylo] (3R,5S)-3,5-dihydroksyhept-6-enowego;ZAKŁADY KINESKOPOWE "UNITRA-POLKOLOR";BERKIETA MARIAN BIAŁAS JÓZEF GÓRZYŃSKI WITOLD SAKOWSKA JADWIGA SYMONOWICZ JACENTY;;G01B;Decyzja o umorzeniu postępowania;
277553;159336;;1989-02-03;16/1990;1990-08-06;12/1992;1992-12-31;Nadajnik przemieszczeń, zwłaszcza do elektrycznego pomiaru wielkości mechanicznych;POLITECHNIKA WARSZAWSKA;KAMIŃSKI EUGENIUSZ TOMCZYŃSKI ZDZISŁAW OLECHOWICZ JAN POKORSKI JANUSZ;Kwiatkowski Stanisław;G01B7/02;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
